time,Open,High,Low,Close,tick_volume,Volume,spread
2025-07-21 16:15:00,1.16611,1.16643,1.16588,1.16638,261,0,0
2025-07-21 16:20:00,1.16638,1.16642,1.16616,1.16628,164,0,0
2025-07-21 16:25:00,1.16626,1.16626,1.16592,1.16625,161,0,0
2025-07-21 16:30:00,1.16625,1.16638,1.16597,1.16632,309,0,0
2025-07-21 16:35:00,1.16633,1.16637,1.1657899999999999,1.16586,236,0,0
2025-07-21 16:40:00,1.16586,1.16639,1.16585,1.16639,236,0,0
2025-07-21 16:45:00,1.16639,1.16653,1.1662,1.16649,329,0,0
2025-07-21 16:50:00,1.1665,1.16655,1.16616,1.16647,318,0,0
2025-07-21 16:55:00,1.16647,1.16655,1.16636,1.16649,175,0,0
2025-07-21 17:00:00,1.16649,1.1679,1.16639,1.16779,416,0,0
2025-07-21 17:05:00,1.16779,1.16828,1.16755,1.16798,411,0,0
2025-07-21 17:10:00,1.16798,1.16816,1.16754,1.16776,354,0,0
2025-07-21 17:15:00,1.16776,1.16831,1.16771,1.16775,337,0,0
2025-07-21 17:20:00,1.16775,1.16789,1.16749,1.16777,308,0,0
2025-07-21 17:25:00,1.16777,1.16829,1.16776,1.16816,243,0,0
2025-07-21 17:30:00,1.16816,1.16886,1.1681,1.1684700000000001,388,0,0
2025-07-21 17:35:00,1.1684700000000001,1.16926,1.16826,1.16902,424,0,0
2025-07-21 17:40:00,1.16902,1.16907,1.16873,1.16885,412,0,0
2025-07-21 17:45:00,1.16885,1.16909,1.16863,1.16898,332,0,0
2025-07-21 17:50:00,1.16898,1.16922,1.1687,1.1691799999999999,447,0,0
2025-07-21 17:55:00,1.1691799999999999,1.16985,1.1691799999999999,1.16965,647,0,0
2025-07-21 18:00:00,1.16964,1.1703000000000001,1.16955,1.17019,575,0,0
2025-07-21 18:05:00,1.17019,1.1703000000000001,1.16992,1.17022,307,0,0
2025-07-21 18:10:00,1.17022,1.17079,1.17017,1.17055,385,0,0
2025-07-21 18:15:00,1.17055,1.17114,1.17049,1.17105,347,0,0
2025-07-21 18:20:00,1.17105,1.17168,1.17104,1.17164,361,0,0
2025-07-21 18:25:00,1.17165,1.17165,1.17127,1.17131,342,0,0
2025-07-21 18:30:00,1.17132,1.17138,1.17093,1.17112,381,0,0
2025-07-21 18:35:00,1.17112,1.17123,1.17088,1.17118,296,0,0
2025-07-21 18:40:00,1.17118,1.17121,1.17065,1.17075,322,0,0
2025-07-21 18:45:00,1.17075,1.1708,1.17052,1.17062,275,0,0
2025-07-21 18:50:00,1.17063,1.17071,1.17027,1.17034,214,0,0
2025-07-21 18:55:00,1.17034,1.17057,1.17016,1.17046,298,0,0
